,Channel O  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Channel O  Monday
367,9:00  -  9:14                  20:00  -  20:14,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
368,11:30  -  11:44,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
369,21:30  -  21:44,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
370,17:45  -  17:5910:45  -  10:59,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
371,7:00  -  7:14,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
372,21:15  -  21:29,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
373,22:00  -  22:14,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
374,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
375,20:15  -  20:29                                             18:00  -  18:14,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
376,21:45  -  21:59,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
377,17:30  -  17:44,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
378,19:30  -  19:44,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
379,11:00  -  11:14,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
380,8:00  -  8:14,135110429,Central,Kapiri Mposhi,Rural,Male,1,,DE,Tertiary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                         21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                                                                                                       20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14                                                                                                                                                                                                                                                                                                                                                6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
