,Disney Channel  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney Channel  Saturday
74,15:30  -  15:4410:00  -  10:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
75,14:15  -  14:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
76,9:30  -  9:448:30  -  8:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
77,15:00  -  15:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
78,17:30  -  17:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
79,11:00  -  11:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
80,14:00  -  14:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
81,8:00  -  8:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
82,6:30  -  6:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
83,6:15  -  6:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
84,7:45  -  7:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
85,11:45  -  11:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
86,15:30  -  15:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
87,6:45  -  6:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
88,19:15  -  19:29                                7:00  -  7:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
89,12:00  -  12:14   5:30  -  5:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14   5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14                                                  14:45  -  14:59,15:00  -  15:14,15:15  -  15:29                                                                                        15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                     7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:4410:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 6:15  -  6:29                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
