,City Channel Cable Network TV  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,City Channel Cable Network TV  Yesterday
24,20:15  -  20:29,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
25,15:45  -  15:59,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
26,18:45  -  18:59,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
27,10:15  -  10:29,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
28,18:15  -  18:29,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
29,12:30  -  12:44,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
30,16:00  -  16:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
31,19:00  -  19:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
32,14:45  -  14:59,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
33,11:30  -  11:44,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
34,10:00  -  10:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
35,14:00  -  14:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
36,20:45  -  20:59,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
37,15:30  -  15:44,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
38,17:45  -  17:59,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
39,18:00  -  18:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
40,20:00  -  20:14,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
41,18:30  -  18:44,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
42,13:15  -  13:29,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
43,20:15  -  20:29,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
44,20:30  -  20:44,60612536,Central,Chibombo,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
45,19:00  -  19:14,60612536,Central,Chibombo,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
46,19:15  -  19:29,60612536,Central,Chibombo,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
47,19:30  -  19:44,60612536,Central,Chibombo,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
48,20:00  -  20:14,60612536,Central,Chibombo,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
49,20:45  -  20:59,60612536,Central,Chibombo,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
50,19:45  -  19:59,60612536,Central,Chibombo,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
51,20:15  -  20:29,60612536,Central,Chibombo,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
52,20:30  -  20:44,60739590,Copperbelt,Kalulushi,Rural,Male,2,One,C2,Don’t know (DON’T READ),Other Christian,Self employed,D,"K 2,500   -  K 3,154",No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
53,20:00  -  20:14,60739590,Copperbelt,Kalulushi,Rural,Male,2,One,C2,Don’t know (DON’T READ),Other Christian,Self employed,D,"K 2,500   -  K 3,154",No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
54,20:45  -  20:59,60739590,Copperbelt,Kalulushi,Rural,Male,2,One,C2,Don’t know (DON’T READ),Other Christian,Self employed,D,"K 2,500   -  K 3,154",No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
55,20:15  -  20:29,60739590,Copperbelt,Kalulushi,Rural,Male,2,One,C2,Don’t know (DON’T READ),Other Christian,Self employed,D,"K 2,500   -  K 3,154",No,45+,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
56,11:00  -  11:14,82363056,Southern,Livingstone,Urban,Female,1,None,DE,Completed high School,Other Christian,Self employed,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:30  -  11:44"
57,11:30  -  11:44,82363056,Southern,Livingstone,Urban,Female,1,None,DE,Completed high School,Other Christian,Self employed,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:30  -  11:44"
58,20:45  -  20:59                                                    11:00  -  11:14,134822859,Central,Mkushi,Rural,Male,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                     19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                    12:45  -  12:59,13:00  -  13:14                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                            22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                  8:00  -  8:14,10:00  -  10:14                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                     10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59                                                    11:00  -  11:14,11:30  -  11:44                                                                          "
59,22:45  -  22:59                                                  8:00  -  8:14,134822859,Central,Mkushi,Rural,Male,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                     19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                    12:45  -  12:59,13:00  -  13:14                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                            22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                  8:00  -  8:14,10:00  -  10:14                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                     10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59                                                    11:00  -  11:14,11:30  -  11:44                                                                          "
60,22:15  -  22:29,134822859,Central,Mkushi,Rural,Male,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                     19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                                                                                                                                                                                                                 19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                                                                                                    12:45  -  12:59,13:00  -  13:14                                                                                              20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59                                                                                                                                                                                                                                                                                                                                            22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                  8:00  -  8:14,10:00  -  10:14                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                     10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59                                                    11:00  -  11:14,11:30  -  11:44                                                                          "
